iter	Passed	Remaining
800	34872	8663
801	34911	8618
802	34947	8573
803	34987	8529
804	35019	8482
805	35054	8437
806	35085	8390
807	35118	8344
808	35154	8299
809	35185	8253
810	35222	8208
811	35257	8163
812	35291	8117
813	35332	8073
814	35367	8028
815	35406	7983
816	35442	7938
817	35477	7893
818	35514	7848
819	35545	7802
820	35584	7758
821	35650	7719
822	35706	7679
823	35756	7637
824	35803	7594
825	35847	7551
826	35890	7507
827	35928	7463
828	35975	7420
829	36024	7378
830	36062	7334
831	36111	7291
832	36159	7249
833	36202	7205
834	36243	7161
835	36284	7118
836	36320	7073
837	36363	7029
838	36408	6986
839	36447	6942
840	36484	6897
841	36526	6854
842	36556	6808
843	36596	6764
844	36629	6718
845	36663	6673
846	36696	6628
847	36730	6583
848	36766	6539
849	36802	6494
850	36835	6449
851	36867	6404
852	36899	6358
853	36940	6315
854	36972	6270
855	37015	6226
856	37056	6183
857	37093	6139
858	37132	6095
859	37176	6052
860	37215	6008
861	37248	5963
862	37284	5918
863	37318	5874
864	37360	5830
865	37393	5786
866	37429	5741
867	37466	5697
868	37514	5655
869	37563	5612
870	37611	5570
871	37654	5527
872	37697	5484
873	37731	5439
874	37769	5395
875	37815	5352
876	37856	5309
877	37897	5265
878	37935	5222
879	37968	5177
880	38011	5134
881	38045	5089
882	38089	5046
883	38131	5003
884	38167	4959
885	38205	4915
886	38244	4872
887	38288	4829
888	38331	4786
889	38373	4742
890	38412	4699
891	38459	4656
892	38524	4616
893	38579	4574
894	38617	4530
895	38657	4487
896	38703	4444
897	38743	4400
898	38789	4357
899	38829	4314
900	38869	4270
901	38914	4227
902	38962	4185
903	39008	4142
904	39057	4099
905	39092	4055
906	39131	4012
907	39177	3969
908	39224	3926
909	39260	3882
910	39306	3840
911	39344	3796
912	39380	3752
913	39415	3708
914	39448	3664
915	39482	3620
916	39535	3578
917	39579	3535
918	39619	3491
919	39663	3449
920	39712	3406
921	39754	3363
922	39804	3320
923	39838	3276
924	39884	3233
925	39929	3190
926	39977	3148
927	40018	3104
928	40068	3062
929	40104	3018
930	40146	2975
931	40185	2931
932	40229	2888
933	40267	2845
934	40304	2801
935	40340	2758
936	40375	2714
937	40411	2671
938	40446	2627
939	40485	2584
940	40529	2541
941	40562	2497
942	40594	2453
943	40628	2410
944	40664	2366
945	40708	2323
946	40749	2280
947	40797	2237
948	40839	2194
949	40876	2151
950	40908	2107
951	40941	2064
952	40977	2020
953	41011	1977
954	41051	1934
955	41087	1891
956	41126	1847
957	41163	1804
958	41197	1761
959	41232	1718
960	41279	1675
961	41327	1632
962	41379	1589
963	41418	1546
964	41472	1504
965	41513	1461
966	41549	1417
967	41590	1374
968	41638	1332
969	41692	1289
970	41735	1246
971	41774	1203
972	41821	1160
973	41862	1117
974	41905	1074
975	41950	1031
976	42002	988
977	42053	945
978	42095	902
979	42144	860
980	42184	817
981	42234	774
982	42276	731
983	42313	688
984	42353	644
985	42396	601
986	42436	558
987	42487	516
988	42533	473
989	42570	430
990	42611	386
991	42647	343
992	42690	300
993	42733	257
994	42779	214
995	42821	171
996	42860	128
997	42900	85
998	42932	42
999	42972	0
